ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
228,Total Class of Worker by Sex by Industry Series,classworker_totalbysexandindustry_series,Employment,Class of Worker,P051001
229,Male Industry1 Private for Profit,classworker_m_ind1_privateforprofit,Employment,Class of Worker,P051004
230,Male Industry1 Private for Profit Employee,classworker_m_ind1_privateforprofit_employee,Employment,Class of Worker,P051005
231,Male Industry1 Private for Profit Self Employed Incorporated Business,classworker_m_ind1_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051006
232,Male Industry1 Private Not for Profit,classworker_m_ind1_privatenotforprofit,Employment,Class of Worker,P051007
233,Male Industry1 Local Government,classworker_m_ind1_localgovt,Employment,Class of Worker,P051008
234,Male Industry1 State Government,classworker_m_ind1_stategovt,Employment,Class of Worker,P051009
235,Male Industry1 Federal Government,classworker_m_ind1_federalgovt,Employment,Class of Worker,P051010
236,Male Industry1 Self Employed Non-Incorporated Business,classworker_m_ind1_selfemployednonincorporatedbusiness,Employment,Class of Worker,P051011
237,Male Industry1 Unpaid Family Worker,classworker_m_ind1_unpaidfamilyworker,Employment,Class of Worker,P051012
238,Male Industry2 Private for Profit,classworker_m_ind2_privateforprofit,Employment,Class of Worker,P051015
239,Male Industry2 Private for Profit Employee,classworker_m_ind2_privateforprofit_employee,Employment,Class of Worker,P051016
240,Male Industry2 Private for Profit Self Employed Incorporated Business,classworker_m_ind2_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051017
241,Male Industry2 Private Not for Profit,classworker_m_ind2_privatenotforprofit,Employment,Class of Worker,P051018
242,Male Industry2 Local Government,classworker_m_ind2_localgovt,Employment,Class of Worker,P051019
243,Male Industry2 State Government,classworker_m_ind2_stategovt,Employment,Class of Worker,P051020
244,Male Industry2 Federal Government,classworker_m_ind2_federalgovt,Employment,Class of Worker,P051021
245,Male Industry2 Self Employed Non-Incorporated Business,classworker_m_ind2_selfemployednonincorporatedbusiness,Employment,Class of Worker,P051022
246,Male Industry2 Unpaid Family Worker,classworker_m_ind2_unpaidfamilyworker,Employment,Class of Worker,P051023
247,Male Industry3 Private for Profit,classworker_m_ind3_privateforprofit,Employment,Class of Worker,P051025
248,Male Industry3 Private for Profit Employee,classworker_m_ind3_privateforprofit_employee,Employment,Class of Worker,P051026
249,Male Industry3 Private for Profit Self Employed Incorporated Business,classworker_m_ind3_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,P051027
250,Male Industry3 Private Not for Profit,classworker_m_ind3_privatenotforprofit,Employment,Class of Worker,P051028
251,Male Industry3 Local Government,classworker_m_ind3_localgovt,Employment,Class of Worker,P051029
252,Male Industry3 State Government,classworker_m_ind3_stategovt,Employment,Class of Worker,P051030
253,Male Industry3 Federal Government,classworker_m_ind3_federalgovt,Employment,Class of Worker,P051031
254,Male Industry3 Self Employed Non-Incorporated Business,classworker_m_ind3_selfemployednonincorporatedbusiness,Employment,Class of Worker,P051032
255,Male Industry3 Unpaid Family Worker,classworker_m_ind3_unpaidfamilyworker,Employment,Class of Worker,P051033
256,Female Industry1 Private for Profit,classworker_f_ind1_privateforprofit,Employment,Class of Worker,P051036
257,Female Industry1 Private for Profit Employee,classworker_f_ind1_privateforprofit_employee,Employment,Class of Worker,P051037
