ID,Data Point,Column Name,Category,Sub Category,ACS Variable,ACS Table
756,"Occupational Employment Male Construction, Extraction, and Maintenance Occupations: Material Moving Occupations",occupation_m_materialmoving,Employment,Occupational Employment,C24010_037E,C24010
757,Occupational Employment Total Female,occupation_sexbyoccupationcivilianpop_totalfemale,Employment,Occupational Employment,C24010_038E,C24010
758,"Occupational Employment Female Management, Professional, and Related: Management Occupations",occupation_f_management,Employment,Occupational Employment,C24010_041E,C24010
759,"Occupational Employment Female Management, Professional, and Related: Business and Financial Operations Occupations",occupation_f_businessandfinancial,Employment,Occupational Employment,C24010_042E,C24010
760,"Occupational Employment Female Management, Professional, and Related: Professional and Related Occupations: Computer and Mathematical Occupations",occupation_f_computerandmathematical,Employment,Occupational Employment,C24010_044E,C24010
761,"Occupational Employment Female Management, Professional, and Related: Professional and Related Occupations: Architecture and Engineering Occupations",occupation_f_architectureandengineering,Employment,Occupational Employment,C24010_045E,C24010
762,"Occupational Employment Female Management, Professional, and Related: Professional and Related Occupations: Life, Physical, and Social Science Occupations",occupation_f_lifephysicalsocialscience,Employment,Occupational Employment,C24010_046E,C24010
763,"Occupational Employment Female Management, Professional, and Related: Professional and Related Occupations: Community and Social Services Occupations",occupation_f_communityandsocialservices,Employment,Occupational Employment,C24010_048E,C24010
764,"Occupational Employment Female Management, Professional, and Related: Legal Occupations",occupation_f_legal,Employment,Occupational Employment,C24010_049E,C24010
765,"Occupational Employment Female Management, Professional, and Related: Education, Training, and Library Occupations",occupation_f_educationtrainingandlibrary,Employment,Occupational Employment,C24010_050E,C24010
766,"Occupational Employment Female Management, Professional, and Related: Arts, Design, Entertainment, Sports, and Media Occupations",occupation_f_artsdesignentertainmentsportsandmedia,Employment,Occupational Employment,C24010_051E,C24010
767,"Occupational Employment Female Management, Professional, and Related: Healthcare Practitioners and Technical Occupations",occupation_f_healthcarepractitionersandtechnical,Employment,Occupational Employment,C24010_052E,C24010
768,Occupational Employment Female Service Occupations: Healthcare Support Occupations,occupation_f_healthcaresupport,Employment,Occupational Employment,C24010_056E,C24010
769,Occupational Employment Female Service Occupations: Protective Service Occupations,occupation_f_protectiveservice,Employment,Occupational Employment,C24010_057E,C24010
770,Occupational Employment Female Service Occupations: Food Preparations and Serving Related Occupations,occupation_f_foodprepandserving,Employment,Occupational Employment,C24010_060E,C24010
771,Occupational Employment Female Service Occupations: Building and Grounds Cleaning and Maintenance Occupations,occupation_f_buildingandgroundscleaningandmaintenance,Employment,Occupational Employment,C24010_061E,C24010
772,Occupational Employment Female Service Occupations: Personal Care and Service Occupations,occupation_f_personalcareandservice,Employment,Occupational Employment,C24010_062E,C24010
773,Occupational Employment Female Sales and Office Occupations: Sales and Related Occupations,occupation_f_salesandrelated,Employment,Occupational Employment,C24010_064E,C24010
774,Occupational Employment Female Sales and Office Occupations: Office and Administrative Support Occupations,occupation_f_officeandadmin,Employment,Occupational Employment,C24010_065E,C24010
775,"Occupational Employment Female Farming, Fishing, and Forestry Occupations",occupation_f_farmingfishingandforestry,Employment,Occupational Employment,C24010_067E,C24010
776,"Occupational Employment Female Construction, Extraction, and Maintenance Occupations: Construction and Extraction Occupations",occupation_f_constructionandextraction,Employment,Occupational Employment,C24010_068E,C24010
777,"Occupational Employment Female Construction, Extraction, and Maintenance Occupations: Installation, Maintenance, and Repair Occupations",occupation_f_installationmaintenanceandrepair,Employment,Occupational Employment,C24010_069E,C24010
778,"Occupational Employment Female Construction, Extraction, and Maintenance Occupations: Production Occupations",occupation_f_production,Employment,Occupational Employment,C24010_071E,C24010
779,"Occupational Employment Female Construction, Extraction, and Maintenance Occupations: Transportation Occupations",occupation_f_transportation,Employment,Occupational Employment,C24010_072E,C24010
780,"Occupational Employment Female Construction, Extraction, and Maintenance Occupations: Material Moving Occupations",occupation_f_materialmoving,Employment,Occupational Employment,C24010_073E,C24010
781,Language Spoken at Home by Ability to Speak English for the Population 5+,language_languagebyabilitytospeakenglish_total5+_series,Diversity,Language,B16004_001E,B16004
782,Language Spoken at Home by Ability to Speak English Total 5 to 17,language_total_5to17,Diversity,Language,B16004_002E,B16004
783,Language Spoken at Home Speaks Only English 5 to 17,language_speakonlyenglish_5to17,Diversity,Language,B16004_003E,B16004
784,Language Spoken at Home Speaks Spanish 5 to 17,language_speakspanish_5to17,Diversity,Language,B16004_004E,B16004
785,"Language Spoken at Home Speaks Spanish: Speaks English ""Very Well"" 5 to 17",language_speakspanish_speakenglishverywell_5to17,Diversity,Language,B16004_005E,B16004
786,"Language Spoken at Home Speaks Spanish: Speaks English ""Well"" 5 to 17",language_speakspanish_speakenglishwell_5to17,Diversity,Language,B16004_006E,B16004
787,"Language Spoken at Home Speaks Spanish: Speaks English ""Not Well"" 5 to 17",language_speakspanish_speakenglishnotwell_5to17,Diversity,Language,B16004_007E,B16004
788,"Language Spoken at Home Speaks Spanish: Speaks English ""Not at All"" 5 to 17",language_speakspanish_speakenglishnotatall_5to17,Diversity,Language,B16004_008E,B16004
789,Language Spoken at Home Speaks Other Indo-European Language 5 to 17,language_speakotherindoeuro_5to17,Diversity,Language,B16004_009E,B16004
790,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Very Well"" 5 to 17",language_speakotherindoeuro_speakenglishverywell_5to17,Diversity,Language,B16004_010E,B16004
791,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Well"" 5 to 17",language_speakotherindoeuro_speakenglishwell_5to17,Diversity,Language,B16004_011E,B16004
792,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not Well"" 5 to 17",language_speakotherindoeuro_speakenglishnotwell_5to17,Diversity,Language,B16004_012E,B16004
793,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not at All"" 5 to 17",language_speakotherindoeuro_speakenglishnotatall_5to17,Diversity,Language,B16004_013E,B16004
794,Language Spoken at Home Speaks Asian or Pacific Island 5 to 17,language_speakasianpacificisland_5to17,Diversity,Language,B16004_014E,B16004
795,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Very Well"" 5 to 17",language_speakasianpacificisland_speakenglishverywell_5to17,Diversity,Language,B16004_015E,B16004
796,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Well"" 5 to 17",language_speakasianpacificisland_speakenglishwell_5to17,Diversity,Language,B16004_016E,B16004
797,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not Well"" 5 to 17",language_speakasianpacificisland_speakenglishnotwell_5to17,Diversity,Language,B16004_017E,B16004
798,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not at All"" 5 to 17",language_speakasianpacificisland_speakenglishnotatall_5to17,Diversity,Language,B16004_018E,B16004
799,Language Spoken at Home Speaks Other Language 5 to 17,language_speakother_5to17,Diversity,Language,B16004_019E,B16004
800,"Language Spoken at Home Speaks Other Language: Speaks English ""Very Well"" 5 to 17",language_speakother_speakenglishverywell_5to17,Diversity,Language,B16004_020E,B16004
801,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 5 to 17",language_speakother_speakenglishwell_5to17,Diversity,Language,B16004_021E,B16004
802,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 5 to 17",language_speakother_speakenglishnotwell_5to17,Diversity,Language,B16004_022E,B16004
803,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 5 to 17",language_speakother_speakenglishnotatall_5to17,Diversity,Language,B16004_023E,B16004
804,Language Spoken at Home by Ability to Speak English Total 18 to 64,language_total_18to64,Diversity,Language,B16004_024E,B16004
805,Language Spoken at Home Speaks Only English 18 to 64,language_speakonlyenglish_18to64,Diversity,Language,B16004_025E,B16004
806,Language Spoken at Home Speaks Spanish 18 to 64,language_speakspanish_18to64,Diversity,Language,B16004_026E,B16004
807,"Language Spoken at Home Speaks Spanish: Speaks English ""Very Well"" 18 to 64",language_speakspanish_speakenglishverywell_18to64,Diversity,Language,B16004_027E,B16004
808,"Language Spoken at Home Speaks Spanish: Speaks English ""Well"" 18 to 64",language_speakspanish_speakenglishwell_18to64,Diversity,Language,B16004_028E,B16004
809,"Language Spoken at Home Speaks Spanish: Speaks English ""Not Well"" 18 to 64",language_speakspanish_speakenglishnotwell_18to64,Diversity,Language,B16004_029E,B16004
810,"Language Spoken at Home Speaks Spanish: Speaks English ""Not at All"" 18 to 64",language_speakspanish_speakenglishnotatall_18to64,Diversity,Language,B16004_030E,B16004
811,Language Spoken at Home Speaks Other Indo-European Language 18 to 64,language_speakotherindoeuro_18to64,Diversity,Language,B16004_031E,B16004
812,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Very Well"" 18 to 64",language_speakotherindoeuro_speakenglishverywell_18to64,Diversity,Language,B16004_032E,B16004
813,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Well"" 18 to 64",language_speakotherindoeuro_speakenglishwell_18to64,Diversity,Language,B16004_033E,B16004
814,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not Well"" 18 to 64",language_speakotherindoeuro_speakenglishnotwell_18to64,Diversity,Language,B16004_034E,B16004
815,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not at All"" 18 to 64",language_speakotherindoeuro_speakenglishnotatall_18to64,Diversity,Language,B16004_035E,B16004
816,Language Spoken at Home Speaks Asian or Pacific Island 18 to 64,language_speakasianpacificisland_18to64,Diversity,Language,B16004_036E,B16004
817,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Very Well"" 18 to 64",language_speakasianpacificisland_speakenglishverywell_18to64,Diversity,Language,B16004_037E,B16004
818,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Well"" 18 to 64",language_speakasianpacificisland_speakenglishwell_18to64,Diversity,Language,B16004_038E,B16004
819,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not Well"" 18 to 64",language_speakasianpacificisland_speakenglishnotwell_18to64,Diversity,Language,B16004_039E,B16004
820,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not at All"" 18 to 64",language_speakasianpacificisland_speakenglishnotatall_18to64,Diversity,Language,B16004_040E,B16004
821,Language Spoken at Home Speaks Other Language 18 to 64,language_speakother_18to64,Diversity,Language,B16004_041E,B16004
822,"Language Spoken at Home Speaks Other Language: Speaks English ""Very Well"" 18 to 64",language_speakother_speakenglishverywell_18to64,Diversity,Language,B16004_042E,B16004
823,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 18 to 64",language_speakother_speakenglishwell_18to64,Diversity,Language,B16004_043E,B16004
824,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 18 to 64",language_speakother_speakenglishnotwell_18to64,Diversity,Language,B16004_044E,B16004
825,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 18 to 64",language_speakother_speakenglishnotatall_18to64,Diversity,Language,B16004_045E,B16004
826,Language Spoken at Home by Ability to Speak English Total 65+,language_total_65+,Diversity,Language,B16004_046E,B16004
827,Language Spoken at Home Speaks Only English 65+,language_speakonlyenglish_65+,Diversity,Language,B16004_047E,B16004
828,Language Spoken at Home Speaks Spanish 65+,language_speakspanish_65+,Diversity,Language,B16004_048E,B16004
829,"Language Spoken at Home Speaks Spanish: Speaks English ""Very Well"" 65+",language_speakspanish_speakenglishverywell_65+,Diversity,Language,B16004_049E,B16004
830,"Language Spoken at Home Speaks Spanish: Speaks English ""Well"" 65+",language_speakspanish_speakenglishwell_65+,Diversity,Language,B16004_050E,B16004
831,"Language Spoken at Home Speaks Spanish: Speaks English ""Not Well"" 65+",language_speakspanish_speakenglishnotwell_65+,Diversity,Language,B16004_051E,B16004
832,"Language Spoken at Home Speaks Spanish: Speaks English ""Not at All"" 65+",language_speakspanish_speakenglishnotatall_65+,Diversity,Language,B16004_052E,B16004
833,Language Spoken at Home Speaks Other Indo-European Language 65+,language_speakotherindoeuro_65+,Diversity,Language,B16004_053E,B16004
834,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Very Well"" 65+",language_speakotherindoeuro_speakenglishverywell_65+,Diversity,Language,B16004_054E,B16004
835,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Well"" 65+",language_speakotherindoeuro_speakenglishwell_65+,Diversity,Language,B16004_055E,B16004
836,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not Well"" 65+",language_speakotherindoeuro_speakenglishnotwell_65+,Diversity,Language,B16004_056E,B16004
837,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not at All"" 65+",language_speakotherindoeuro_speakenglishnotatall_65+,Diversity,Language,B16004_057E,B16004
838,Language Spoken at Home Speaks Asian or Pacific Island 65+,language_speakasianpacificisland_65+,Diversity,Language,B16004_058E,B16004
839,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Very Well"" 65+",language_speakasianpacificisland_speakenglishverywell_65+,Diversity,Language,B16004_059E,B16004
840,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Well"" 65+",language_speakasianpacificisland_speakenglishwell_65+,Diversity,Language,B16004_060E,B16004
841,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not Well"" 65+",language_speakasianpacificisland_speakenglishnotwell_65+,Diversity,Language,B16004_061E,B16004
842,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not at All"" 65+",language_speakasianpacificisland_speakenglishnotatall_65+,Diversity,Language,B16004_062E,B16004
843,Language Spoken at Home Speaks Other Language 65+,language_speakother_65+,Diversity,Language,B16004_063E,B16004
844,"Language Spoken at Home Speaks Other Language: Speaks English ""Very Well"" 65+",language_speakother_speakenglishverywell_65+,Diversity,Language,B16004_064E,B16004
845,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 65+",language_speakother_speakenglishwell_65+,Diversity,Language,B16004_065E,B16004
846,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 65+",language_speakother_speakenglishnotwell_65+,Diversity,Language,B16004_066E,B16004
847,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 65+",language_speakother_speakenglishnotatall_65+,Diversity,Language,B16004_067E,B16004
848,Disability Status by Sex by Age Total Series,disability_sexbyage_total_series,Population,Disability,B18101_001E,B18101
849,Disability Total Male,disability_totalmale,Population,Disability,B18101_002E,B18101
850,Disability Male Under 5,disability_mu5,Population,Disability,B18101_003E,B18101
851,Disability Male Under 5 with Disability,disability_mu5_disability,Population,Disability,B18101_004E,B18101
852,Disability Male Under 5 Without Disability,disability_mu5_nodisability,Population,Disability,B18101_005E,B18101
853,Disability Male 5 to 17,disability_m5to17,Population,Disability,B18101_006E,B18101
854,Disability Male 5 to 17 with Disability,disability_m5to17_disability,Population,Disability,B18101_007E,B18101
855,Disability Male 5 to 17 Without Disability,disability_m5to17_nodisability,Population,Disability,B18101_008E,B18101
856,Disability Male 18 to 34,disability_m18to34,Population,Disability,B18101_009E,B18101
857,Disability Male 18 to 34 with Disability,disability_m18to34_disability,Population,Disability,B18101_010E,B18101
858,Disability Male 18 to 34 Without Disability,disability_m18to34_nodisability,Population,Disability,B18101_011E,B18101
859,Disability Male 35 to 64,disability_m35to64,Population,Disability,B18101_012E,B18101
860,Disability Male 35 to 64 with Disability,disability_m35to64_disability,Population,Disability,B18101_013E,B18101
861,Disability Male 35 to 64 Without Disability,disability_m35to64_nodisability,Population,Disability,B18101_014E,B18101
862,Disability Male 65 to 74,disability_m65to74,Population,Disability,B18101_015E,B18101
863,Disability Male 65 to 74 with Disability,disability_m65to74_disability,Population,Disability,B18101_016E,B18101
864,Disability Male 65 to 74 Without Disability,disability_m65to74_nodisability,Population,Disability,B18101_017E,B18101
865,Disability Male 75+,disability_m75+,Population,Disability,B18101_018E,B18101
866,Disability Male 75+ with Disability,disability_m75+_disability,Population,Disability,B18101_019E,B18101
867,Disability Male 75+ Without Disability,disability_m75+_nodisability,Population,Disability,B18101_020E,B18101
868,Disability Total Female,disability_totalfemale,Population,Disability,B18101_021E,B18101
869,Disability Female Under 5,disability_fu5,Population,Disability,B18101_022E,B18101
870,Disability Female Under 5 with Disability,disability_fu5_disability,Population,Disability,B18101_023E,B18101
871,Disability Female Under 5 Without Disability,disability_fu5_nodisability,Population,Disability,B18101_024E,B18101
872,Disability Female 5 to 17,disability_f5to17,Population,Disability,B18101_025E,B18101
873,Disability Female 5 to 17 with Disability,disability_f5to17_disability,Population,Disability,B18101_026E,B18101
874,Disability Female 5 to 17 Without Disability,disability_f5to17_nodisability,Population,Disability,B18101_027E,B18101
875,Disability Female 18 to 34,disability_f18to34,Population,Disability,B18101_028E,B18101
876,Disability Female 18 to 34 with Disability,disability_f18to34_disability,Population,Disability,B18101_029E,B18101
877,Disability Female 18 to 34 Without Disability,disability_f18to34_nodisability,Population,Disability,B18101_030E,B18101
878,Disability Female 35 to 64,disability_f35to64,Population,Disability,B18101_031E,B18101
879,Disability Female 35 to 64 with Disability,disability_f35to64_disability,Population,Disability,B18101_032E,B18101
880,Disability Female 35 to 64 Without Disability,disability_f35to64_nodisability,Population,Disability,B18101_033E,B18101
881,Disability Female 65 to 74,disability_f65to74,Population,Disability,B18101_034E,B18101
882,Disability Female 65 to 74 with Disability,disability_f65to74_disability,Population,Disability,B18101_035E,B18101
883,Disability Female 65 to 74 Without Disability,disability_f65to74_nodisability,Population,Disability,B18101_036E,B18101
884,Disability Female 75+,disability_f75+,Population,Disability,B18101_037E,B18101
885,Disability Female 75+ with Disability,disability_f75+_disability,Population,Disability,B18101_038E,B18101
886,Disability Female 75+ Without Disability,disability_f75+_nodisability,Population,Disability,B18101_039E,B18101
887,Disability: Hearing Difficulty Status by Sex by Age Total Series,disability_sexbyage_hearing_total_series,Population,Disability,B18102_001E,B18102
888,Disability: Hearing Difficulty Total Male,disability_totalmale_hearing,Population,Disability,B18102_002E,B18102
889,Disability: Hearing Difficulty Male Under 5,disability_mu5_hearing,Population,Disability,B18102_003E,B18102
890,Disability: Hearing Difficulty Male Under 5 with Disability: Hearing Difficulty,disability_mu5_hearingdifficulty,Population,Disability,B18102_004E,B18102
891,Disability: Hearing Difficulty Male Under 5 Without Disability: Hearing Difficulty,disability_mu5_nohearingdifficulty,Population,Disability,B18102_005E,B18102
892,Disability: Hearing Difficulty Male 5 to 17,disability_m5to17_hearing,Population,Disability,B18102_006E,B18102
893,Disability: Hearing Difficulty Male 5 to 17 with Disability: Hearing Difficulty,disability_m5to17_hearingdifficulty,Population,Disability,B18102_007E,B18102
894,Disability: Hearing Difficulty Male 5 to 17 Without Disability: Hearing Difficulty,disability_m5to17_nohearingdifficulty,Population,Disability,B18102_008E,B18102
895,Disability: Hearing Difficulty Male 18 to 34,disability_m18to34_hearing,Population,Disability,B18102_009E,B18102
896,Disability: Hearing Difficulty Male 18 to 34 with Disability: Hearing Difficulty,disability_m18to34_hearingdifficulty,Population,Disability,B18102_010E,B18102
897,Disability: Hearing Difficulty Male 18 to 34 Without Disability: Hearing Difficulty,disability_m18to34_nohearingdifficulty,Population,Disability,B18102_011E,B18102
898,Disability: Hearing Difficulty Male 35 to 64,disability_m35to64_hearing,Population,Disability,B18102_012E,B18102
899,Disability: Hearing Difficulty Male 35 to 64 with Disability: Hearing Difficulty,disability_m35to64_hearingdifficulty,Population,Disability,B18102_013E,B18102
900,Disability: Hearing Difficulty Male 35 to 64 Without Disability: Hearing Difficulty,disability_m35to64_nohearingdifficulty,Population,Disability,B18102_014E,B18102
901,Disability: Hearing Difficulty Male 65 to 74,disability_m65to74_hearing,Population,Disability,B18102_015E,B18102
902,Disability: Hearing Difficulty Male 65 to 74 with Disability: Hearing Difficulty,disability_m65to74_hearingdifficulty,Population,Disability,B18102_016E,B18102
903,Disability: Hearing Difficulty Male 65 to 74 Without Disability: Hearing Difficulty,disability_m65to74_nohearingdifficulty,Population,Disability,B18102_017E,B18102
904,Disability: Hearing Difficulty Male 75+,disability_m75+_hearing,Population,Disability,B18102_018E,B18102
905,Disability: Hearing Difficulty Male 75+ with Disability: Hearing Difficulty,disability_m75+_hearingdifficulty,Population,Disability,B18102_019E,B18102
906,Disability: Hearing Difficulty Male 75+ Without Disability: Hearing Difficulty,disability_m75+_nohearingdifficulty,Population,Disability,B18102_020E,B18102
907,Disability: Hearing Difficulty Total Female,disability_totalfemale_hearing,Population,Disability,B18102_021E,B18102
908,Disability: Hearing Difficulty Female Under 5,disability_fu5_hearing,Population,Disability,B18102_022E,B18102
909,Disability: Hearing Difficulty Female Under 5 with Disability: Hearing Difficulty,disability_fu5_hearingdifficulty,Population,Disability,B18102_023E,B18102
910,Disability: Hearing Difficulty Female Under 5 Without Disability: Hearing Difficulty,disability_fu5_nohearingdifficulty,Population,Disability,B18102_024E,B18102
911,Disability: Hearing Difficulty Female 5 to 17,disability_f5to17_hearing,Population,Disability,B18102_025E,B18102
912,Disability: Hearing Difficulty Female 5 to 17 with Disability: Hearing Difficulty,disability_f5to17_hearingdifficulty,Population,Disability,B18102_026E,B18102
913,Disability: Hearing Difficulty Female 5 to 17 Without Disability: Hearing Difficulty,disability_f5to17_nohearingdifficulty,Population,Disability,B18102_027E,B18102
914,Disability: Hearing Difficulty Female 18 to 34,disability_f18to34_hearing,Population,Disability,B18102_028E,B18102
915,Disability: Hearing Difficulty Female 18 to 34 with Disability: Hearing Difficulty,disability_f18to34_hearingdifficulty,Population,Disability,B18102_029E,B18102
916,Disability: Hearing Difficulty Female 18 to 34 Without Disability: Hearing Difficulty,disability_f18to34_nohearingdifficulty,Population,Disability,B18102_030E,B18102
917,Disability: Hearing Difficulty Female 35 to 64,disability_f35to64_hearing,Population,Disability,B18102_031E,B18102
918,Disability: Hearing Difficulty Female 35 to 64 with Disability: Hearing Difficulty,disability_f35to64_hearingdifficulty,Population,Disability,B18102_032E,B18102
919,Disability: Hearing Difficulty Female 35 to 64 Without Disability: Hearing Difficulty,disability_f35to64_nohearingdifficulty,Population,Disability,B18102_033E,B18102
920,Disability: Hearing Difficulty Female 65 to 74,disability_f65to74_hearing,Population,Disability,B18102_034E,B18102
921,Disability: Hearing Difficulty Female 65 to 74 with Disability: Hearing Difficulty,disability_f65to74_hearingdifficulty,Population,Disability,B18102_035E,B18102
922,Disability: Hearing Difficulty Female 65 to 74 Without Disability: Hearing Difficulty,disability_f65to74_nohearingdifficulty,Population,Disability,B18102_036E,B18102
923,Disability: Hearing Difficulty Female 75+,disability_f75+_hearing,Population,Disability,B18102_037E,B18102
924,Disability: Hearing Difficulty Female 75+ with Disability: Hearing Difficulty,disability_f75+_hearingdifficulty,Population,Disability,B18102_038E,B18102
925,Disability: Hearing Difficulty Female 75+ Without Disability: Hearing Difficulty,disability_f75+_nohearingdifficulty,Population,Disability,B18102_039E,B18102
926,Disability: Vision Difficulty Status by Sex by Age Total Series,disability_sexbyage_vision_total_series,Population,Disability,B18103_001E,B18103
927,Disability: Vision Difficulty Total Male,disability_totalmale_vision,Population,Disability,B18103_002E,B18103
928,Disability: Vision Difficulty Male Under 5,disability_mu5_vision,Population,Disability,B18103_003E,B18103
929,Disability: Vision Difficulty Male Under 5 with Disability: Vision Difficulty,disability_mu5_visiondifficulty,Population,Disability,B18103_004E,B18103
930,Disability: Vision Difficulty Male Under 5 Without Disability: Vision Difficulty,disability_mu5_novisiondifficulty,Population,Disability,B18103_005E,B18103
931,Disability: Vision Difficulty Male 5 to 17,disability_m5to17_vision,Population,Disability,B18103_006E,B18103
932,Disability: Vision Difficulty Male 5 to 17 with Disability: Vision Difficulty,disability_m5to17_visiondifficulty,Population,Disability,B18103_007E,B18103
933,Disability: Vision Difficulty Male 5 to 17 Without Disability: Vision Difficulty,disability_m5to17_novisiondifficulty,Population,Disability,B18103_008E,B18103
934,Disability: Vision Difficulty Male 18 to 34,disability_m18to34_vision,Population,Disability,B18103_009E,B18103
935,Disability: Vision Difficulty Male 18 to 34 with Disability: Vision Difficulty,disability_m18to34_visiondifficulty,Population,Disability,B18103_010E,B18103
936,Disability: Vision Difficulty Male 18 to 34 Without Disability: Vision Difficulty,disability_m18to34_novisiondifficulty,Population,Disability,B18103_011E,B18103
937,Disability: Vision Difficulty Male 35 to 64,disability_m35to64_vision,Population,Disability,B18103_012E,B18103
938,Disability: Vision Difficulty Male 35 to 64 with Disability: Vision Difficulty,disability_m35to64_visiondifficulty,Population,Disability,B18103_013E,B18103
939,Disability: Vision Difficulty Male 35 to 64 Without Disability: Vision Difficulty,disability_m35to64_novisiondifficulty,Population,Disability,B18103_014E,B18103
940,Disability: Vision Difficulty Male 65 to 74,disability_m65to74_vision,Population,Disability,B18103_015E,B18103
941,Disability: Vision Difficulty Male 65 to 74 with Disability: Vision Difficulty,disability_m65to74_visiondifficulty,Population,Disability,B18103_016E,B18103
942,Disability: Vision Difficulty Male 65 to 74 Without Disability: Vision Difficulty,disability_m65to74_novisiondifficulty,Population,Disability,B18103_017E,B18103
943,Disability: Vision Difficulty Male 75+,disability_m75+_vision,Population,Disability,B18103_018E,B18103
944,Disability: Vision Difficulty Male 75+ with Disability: Vision Difficulty,disability_m75+_visiondifficulty,Population,Disability,B18103_019E,B18103
945,Disability: Vision Difficulty Male 75+ Without Disability: Vision Difficulty,disability_m75+_novisiondifficulty,Population,Disability,B18103_020E,B18103
946,Disability: Vision Difficulty Total Female,disability_totalfemale_vision,Population,Disability,B18103_021E,B18103
947,Disability: Vision Difficulty Female Under 5,disability_fu5_vision,Population,Disability,B18103_022E,B18103
948,Disability: Vision Difficulty Female Under 5 with Disability: Vision Difficulty,disability_fu5_visiondifficulty,Population,Disability,B18103_023E,B18103
949,Disability: Vision Difficulty Female Under 5 Without Disability: Vision Difficulty,disability_fu5_novisiondifficulty,Population,Disability,B18103_024E,B18103
950,Disability: Vision Difficulty Female 5 to 17,disability_f5to17_vision,Population,Disability,B18103_025E,B18103
951,Disability: Vision Difficulty Female 5 to 17 with Disability: Vision Difficulty,disability_f5to17_visiondifficulty,Population,Disability,B18103_026E,B18103
952,Disability: Vision Difficulty Female 5 to 17 Without Disability: Vision Difficulty,disability_f5to17_novisiondifficulty,Population,Disability,B18103_027E,B18103
953,Disability: Vision Difficulty Female 18 to 34,disability_f18to34_vision,Population,Disability,B18103_028E,B18103
954,Disability: Vision Difficulty Female 18 to 34 with Disability: Vision Difficulty,disability_f18to34_visiondifficulty,Population,Disability,B18103_029E,B18103
955,Disability: Vision Difficulty Female 18 to 34 Without Disability: Vision Difficulty,disability_f18to34_novisiondifficulty,Population,Disability,B18103_030E,B18103
956,Disability: Vision Difficulty Female 35 to 64,disability_f35to64_vision,Population,Disability,B18103_031E,B18103
957,Disability: Vision Difficulty Female 35 to 64 with Disability: Vision Difficulty,disability_f35to64_visiondifficulty,Population,Disability,B18103_032E,B18103
958,Disability: Vision Difficulty Female 35 to 64 Without Disability: Vision Difficulty,disability_f35to64_novisiondifficulty,Population,Disability,B18103_033E,B18103
959,Disability: Vision Difficulty Female 65 to 74,disability_f65to74_vision,Population,Disability,B18103_034E,B18103
960,Disability: Vision Difficulty Female 65 to 74 with Disability: Vision Difficulty,disability_f65to74_visiondifficulty,Population,Disability,B18103_035E,B18103
961,Disability: Vision Difficulty Female 65 to 74 Without Disability: Vision Difficulty,disability_f65to74_novisiondifficulty,Population,Disability,B18103_036E,B18103
962,Disability: Vision Difficulty Female 75+,disability_f75+_vision,Population,Disability,B18103_037E,B18103
963,Disability: Vision Difficulty Female 75+ with Disability: Vision Difficulty,disability_f75+_visiondifficulty,Population,Disability,B18103_038E,B18103
964,Disability: Vision Difficulty Female 75+ Without Disability: Vision Difficulty,disability_f75+_novisiondifficulty,Population,Disability,B18103_039E,B18103
965,Disability: Cognitive Difficulty Status by Sex by Age Total Series,disability_sexbyage_cognitive_total_series,Population,Disability,B18104_001E,B18104
966,Disability: Cognitive Difficulty Total Male,disability_totalmale_cognitive,Population,Disability,B18104_002E,B18104
