ID,Data Point,Column Name,Category,Sub Category,ACS Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
223,Female 55 to 64 Public Healthcare Coverage,healthcoverage_f55to64_publicall,Population,Healthcare,B27003_049E,1,0,0,0
224,Female 55 to 64 With Public Health Insurance,healthcoverage_f55to64_wpublic,Population,Healthcare,B27003_050E,1,0,0,0
225,Female 55 to 64 Without Public Health Insurance,healthcoverage_f55to64_wopublic,Population,Healthcare,B27003_051E,1,0,0,0
226,Female 65 to 74 Public Healthcare Coverage,healthcoverage_f65to74_publicall,Population,Healthcare,B27003_052E,1,0,0,0
227,Female 65 to 74 With Public Health Insurance,healthcoverage_f65to74_wpublic,Population,Healthcare,B27003_053E,1,0,0,0
228,Female 65 to 74 Without Public Health Insurance,healthcoverage_f65to74_wopublic,Population,Healthcare,B27003_054E,1,0,0,0
229,Female 75 and Over Public Healthcare Coverage,healthcoverage_f75+_publicall,Population,Healthcare,B27003_055E,1,0,0,0
230,Female 75 and Over With Public Health Insurance,healthcoverage_f75+_wpublic,Population,Healthcare,B27003_056E,1,0,0,0
231,Female 75 and Over Without Public Health Insurance,healthcoverage_f75+_wopublic,Population,Healthcare,B27003_057E,1,0,0,0
232,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E,1,1,0,0
233,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E,1,1,0,0
234,Housing Units,units_allhousing,Housing,Housing,B25001_001E,1,0,1,0
235,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E,1,0,1,0
236,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E,1,0,0,0
237,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E,1,0,0,0
238,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E,1,0,0,0
239,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E,1,0,0,0
240,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E,1,0,0,0
241,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E,1,0,1,0
242,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E,1,0,0,0
243,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E,1,0,0,0
